"caseName","status","websiteDbName","cleanClaimsDbName","submittedOnlineCount","matchedInCleanClaimsCount","missingCount","isDBOnline","description","referenceDate","isActive"
"Plowman v. Ty Inc.","OK","Ty_Plowman_C","Ty_Plowman_C_SQL","8","8","0","ONLINE","Confirmation-based compare clean for source rows since reference date.","2025-06-13","false"
"Ragin v. LifeBridge Health, Inc.","OK","LifeBridgeHealth_Ragin_C","LifeBridgeHealth_Ragin_C_SQL","1248","1248","0","ONLINE","Confirmation-based compare clean for source rows since reference date.","2025-06-13","false"
"Rahman v. Erickson Companies, LLC","OK","EricksonCompanies_Rahman_C","EricksonCompanies_Rahman_C_SQL","283","283","0","ONLINE","Confirmation-based compare clean for source rows since reference date.","2025-06-13","false"
"Rasmussen v. The Walt Disney Co.","OK","WaltDisneyCompany_Rasmussen_O","WaltDisneyCompany_Rasmussen_O_SQL","71","71","0","ONLINE","Confirmation-based compare clean for source rows since reference date.","2025-06-13","false"
"Sandler v. The May Institute, Inc.","OK","MayInstitute_Sandler_C","MayInstitute_Sandler_C_SQL","93","93","0","ONLINE","Confirmation-based compare clean for source rows since reference date.","2025-06-13","false"
"Schoeder-Rummel v. Mile Hi Foods, Co.","OK","MileHiFoods_SchoederRummel_C","MileHiFoods_SchoederRummel_C_SQL","73","73","0","ONLINE","Confirmation-based compare clean for source rows since reference date.","2025-06-13","false"
"Weaver, et al. v. Plymouth Tube Company","OK","PlymouthTubeCompany_Weaver_C","PlymouthTubeCompany_Weaver_C_SQL","2","2","0","ONLINE","Confirmation-based compare clean for source rows since reference date.","2025-06-13","false"
"Weekes v. Cohen Cleary, P.C.","OK","CohenCleary_Weekes_C","CohenCleary_Weekes_C_SQL","6","6","0","ONLINE","Confirmation-based compare clean for source rows since reference date.","2025-06-13","false"
"West v. Rheem Manufacturing Company and Melet Plastics Inc.","OK","RheemManufacturingCompany_West_C","RheemManufacturingCompany_West_C_SQL","8694","8694","0","ONLINE","Confirmation-based compare clean for source rows since reference date.","2025-06-13","false"
"Williams v. Iona University","OK","IonaUniversity_Williams_C","IonaUniversity_Williams_C_SQL","225","225","0","ONLINE","Confirmation-based compare clean for source rows since reference date.","2025-06-13","false"
"Yu v. Gleiberman Properties, Inc.","OK","GleibermanProperties_Yu_C","GleibermanProperties_Yu_C_SQL","1755","1755","0","ONLINE","Confirmation-based compare clean for source rows since reference date.","2025-06-13","false"
"1925 Hooper LLC, et al. v. The National Association of Realtors, et al.","WARNING","NationalAssociationOfRealtors_Hooper_C","NationalAssociationOfRealtors_Hooper_C_SQL","43948","43947","1","ONLINE","Confirmation-based compare found missing rows since reference date.","2025-06-13","false"
"Alcazar v. Fashion Nova, Inc","WARNING","FashionNova_Alcazar_C","FashionNova_Alcazar_C_SQL","736207","733644","2563","ONLINE","Confirmation-based compare found missing rows since reference date.","2025-06-13","false"
"Carbajal v. Cenlar FSB","WARNING","CenlarFSB_Carbajal_C","CenlarFSB_Carbajal_C_SQL","141","140","1","ONLINE","Confirmation-based compare found missing rows since reference date.","2025-06-13","true"
"Christopher v. Box, Inc.","WARNING","Box_Christopher_C","Box_Christopher_C_SQL","35","33","2","ONLINE","Confirmation-based compare found missing rows since reference date.","2025-06-13","true"
